188,149,263,169,254,206,179,185
583,300,652,295,654,319,584,324
33,174,91,171,92,194,34,197
1183,221,1242,211,1247,246,1188,256
514,208,573,200,575,225,517,233
33,257,92,253,93,269,34,273
574,200,644,196,645,222,575,225
35,273,93,270,94,283,36,287
1199,332,1255,329,1257,359,1200,362
511,77,566,69,569,91,514,98
525,309,567,303,570,326,528,332
569,66,640,67,640,90,568,89
1099,191,1128,188,1129,205,1100,207
254,184,287,190,284,210,250,204
330,208,361,214,358,227,328,220
291,199,322,205,320,218,289,212
