601,254,667,252,667,271,601,274
690,425,761,427,760,448,690,446
538,213,622,210,623,229,539,232
494,171,565,170,565,190,494,191
689,408,762,411,761,433,688,430
1011,166,1088,164,1088,187,1012,189
692,449,754,450,753,469,691,468
819,640,869,636,871,667,821,670
1032,190,1119,188,1119,208,1033,210
501,188,576,191,575,210,500,207
527,233,572,231,572,251,528,252
632,204,702,201,704,237,633,240
534,140,564,139,564,158,534,158
641,188,697,187,698,206,642,207
499,234,527,235,527,255,499,254
499,215,541,214,541,232,499,233
1081,163,1122,165,1121,185,1080,184
572,189,606,190,605,207,572,207
572,254,595,255,594,272,572,271
603,189,658,192,657,210,602,207
