4,593,89,556,104,594,18,631
863,404,922,407,922,427,863,425
864,351,928,353,927,376,863,374
934,183,981,179,982,197,935,201
862,272,931,275,930,299,861,297
865,327,927,326,927,348,865,349
867,457,933,459,932,482,867,480
913,205,955,202,956,220,914,223
860,508,925,510,925,533,860,531
864,430,928,432,927,456,863,453
862,300,928,299,928,322,863,323
867,380,926,381,925,402,866,400
1185,233,1267,230,1268,248,1186,250
897,188,934,184,936,202,899,206
1086,234,1163,233,1163,250,1086,251
866,481,927,483,926,506,865,504
1181,209,1252,211,1252,229,1180,226
949,202,984,198,986,216,951,220
811,217,860,212,862,227,813,232
1095,211,1168,213,1168,230,1094,228
381,237,447,245,446,260,380,252
1120,380,1144,381,1144,394,1120,394
