198,161,296,160,297,198,199,200
234,220,282,222,282,238,234,236
561,228,607,225,608,248,562,251
248,374,292,373,292,388,248,389
909,223,965,220,966,236,910,240
235,195,278,197,278,213,234,211
236,235,286,239,286,252,236,249
252,388,292,387,292,401,252,402
633,226,661,229,660,248,631,245
227,406,260,405,260,418,228,419
256,402,288,403,288,417,255,417
221,392,255,391,255,405,221,405
198,376,230,378,229,394,197,392
210,405,233,406,232,422,209,421
826,225,854,223,855,238,827,239
209,237,240,237,241,249,209,249
