34,52,250,68,246,119,30,104
19,373,252,352,255,390,22,412
269,347,431,335,433,372,271,384
109,107,253,119,251,144,107,133
195,408,274,400,276,424,197,431
77,421,143,414,146,442,79,450
315,491,370,481,373,498,318,507
208,445,316,434,318,454,209,465
394,477,441,467,444,483,397,493
317,390,382,381,385,405,320,413
19,431,70,426,72,452,21,456
49,103,130,108,129,135,47,130
171,452,214,448,215,465,173,470
380,384,435,379,436,396,382,402
393,413,435,410,437,427,394,431
140,414,189,409,191,433,142,439
275,396,318,390,321,414,278,420
396,400,433,397,434,413,397,416
339,427,383,419,386,435,341,442
