27,-10,158,51,145,84,14,22
756,97,840,55,855,89,771,131
826,56,877,34,892,73,840,95
217,268,280,267,280,283,217,284
263,202,335,200,335,216,263,218
222,284,278,282,279,298,223,301
274,242,339,240,339,256,274,258
267,225,333,223,334,239,268,242
281,283,317,282,317,297,282,299
91,278,138,271,140,286,93,293
220,246,262,244,263,258,220,260
262,308,307,306,308,322,263,325
299,181,342,184,341,200,298,197
90,291,130,287,132,304,92,308
210,312,262,310,263,326,210,329
212,188,251,187,251,202,212,203
293,265,329,263,329,279,294,280
219,204,256,202,257,218,219,219
226,228,265,227,265,242,226,242
118,306,150,301,154,329,122,334
254,185,304,184,305,199,254,201
85,310,120,307,123,335,88,339
149,304,178,301,180,321,151,324
269,267,301,264,302,279,270,282
