309,56,401,64,399,90,307,82
806,205,875,207,874,231,805,228
305,119,411,124,410,140,305,134
54,27,112,29,111,68,53,67
53,71,140,76,139,96,52,91
154,118,212,122,211,137,153,133
9,112,60,115,59,130,8,126
148,101,202,103,201,120,147,117
169,39,222,42,221,76,167,72
121,40,180,41,179,72,121,71
211,104,256,109,255,123,209,118
76,97,131,101,130,116,75,112
-2,37,46,39,45,64,-3,62
104,116,153,119,152,135,104,132
-1,68,48,70,48,90,-2,88
77,115,109,116,109,131,76,130
0,96,38,98,37,112,0,110
138,76,162,75,162,94,139,95
38,96,73,97,72,114,38,112
