227,90,360,100,358,138,224,128
18,-7,173,11,169,56,13,38
96,117,203,122,202,160,95,155
133,472,214,459,216,477,135,490
90,185,178,188,178,206,90,203
93,374,188,364,190,383,95,394
296,364,372,357,374,375,297,382
91,75,181,81,179,121,89,115
596,211,664,206,665,223,598,228
93,339,168,334,169,350,94,355
97,448,156,441,158,457,99,464
279,328,347,324,348,346,280,349
164,297,229,293,230,311,165,315
281,400,339,392,341,409,283,416
217,127,321,133,319,167,215,161
92,304,134,302,135,318,93,319
98,529,148,519,151,537,101,547
95,412,139,407,141,423,97,428
97,488,134,484,135,501,99,506
97,255,154,253,155,270,97,272
171,331,238,326,239,344,172,349
90,266,140,264,141,281,91,283
156,403,192,400,193,415,157,418
182,262,223,260,224,278,183,280
156,439,191,433,193,450,158,455
133,263,184,261,184,280,133,282
135,222,192,221,192,238,135,239
92,223,132,222,132,237,92,238
340,392,370,388,372,402,342,407
325,137,357,137,357,167,325,168
191,90,214,91,213,122,190,121
144,299,166,298,167,316,145,316
